id_doc;original_name
Ner_BCN_025;España
Ner_BCN_028;España
Ner_BCN_028;Constantinopla
Ner_BCN_028;Turquia
Ner_BCN_028;Austria
Ner_BCN_028;Irlanda
Ner_BCN_028;Olanda
Ner_BCN_028;Inglaterra
Ner_BCN_028;Austria
Ner_BCN_028;España
Ner_BCN_028;Irlanda
Ner_BCN_028;Olanda
Ner_BCN_028;Inglaterra
Ner_BCN_028;Meca
Ner_BCN_028;Austria
Ner_BCN_028;Austria
Ner_BCN_028;Turquia
Ner_BCN_028;Babilonia
Ner_BCN_028;España
Ner_BCN_028;España
Ner_BCN_028;Austria
Ner_BCN_029;AUSTRIA
Ner_BCN_029;Lepanto
Ner_BCN_029;Sicilia
Ner_BCN_029;Sicilia
Ner_BCN_029;Austria
Ner_BCN_029;España
Ner_BCN_029;Roma
Ner_BCN_029;Mecina
Ner_BCN_029;Turquía
Ner_BCN_029;golfo
Ner_BCN_029;Lepanto
Ner_BCN_029;Austria
Ner_BCN_029;Turquía
Ner_BCN_029;España
Ner_BCN_029;Austria
Ner_BCN_029;Lepanto
Ner_BCN_029;Valencia
Ner_BCN_029;Austria
Ner_BCN_029;Malta
Ner_BCN_029;Austria
Ner_BCN_029;Austria
Ner_BCN_029;Turquía
Ner_BCN_029;Turquía
Ner_BCN_029;Turquía
Ner_BCN_029;Austria
Ner_BCN_029;Ocali
Ner_BCN_029;Argel
Ner_BCN_029;España
Ner_BCN_029;Capadocia
Ner_BCN_029;Trapisonda
Ner_BCN_029;Cairo
Ner_BCN_029;Constantinopla
Ner_BCN_029;Turquía
Ner_BCN_029;Armenia
Ner_BCN_029;Austria
Ner_BCN_029;Venecia
Ner_BCN_029;España
Ner_BCN_029;monte Tartareo
Ner_BCN_029;Turquía
Ner_BCN_029;Austria
Ner_BCN_029;Austria
Ner_BCN_029;Assambey
Ner_BCN_029;Italia
Ner_BCN_029;Flandes
Ner_BCN_029;España
Ner_BCN_029;Florencia
Ner_BCN_029;Toscana
Ner_BCN_029;Granada
Ner_BCN_029;Milan
Ner_BCN_029;Flandes
Ner_BCN_030;España
Ner_BCN_030;Lerma
Ner_BCN_030;Saboya
Ner_BCN_030;Valladolid
Ner_BCN_030;Toledo
Ner_BCN_030;Oliva
Ner_BCN_030;Ocaña
Ner_BCN_030;Placencia
Ner_BCN_030;Valladolid
Ner_BCN_030;Villalonga
Ner_BCN_030;Lerma
Ner_BCN_030;España
Ner_BCN_030;Montancho
Ner_BCN_030;Montancho
Ner_BCN_030;Carmelo
Ner_BCN_031;Ungría
Ner_BCN_031;Ungría
Ner_BCN_032;Antequerasucedió
Ner_BCN_032;Sevilla
Ner_BCN_032;Antequera
Ner_BCN_032;Sevilla
Ner_BCN_032;Antequera
Ner_BCN_032;Sevilla
Ner_BCN_032;Sevilla
Ner_BCN_032;san Salvador
Ner_BCN_032;Antequera
Ner_BCN_032;Sevilla
Ner_BCN_032;Carmona
Ner_BCN_032;Carmona
Ner_BCN_032;Antequera
Ner_BCN_032;Málaga
Ner_BCN_033;Francia
Ner_BCN_033;Francia
Ner_BCN_033;Paris
Ner_BCN_033;Francia
Ner_BCN_034;Ma-drid
Ner_BCN_034;Madrid
Ner_BCN_034;España
Ner_BCN_034;Malta
Ner_BCN_034;Antequera
Ner_BCN_034;Madrid
Ner_BCN_034;Madrid
Ner_BCN_034;España
Ner_BCN_035;Ciudad-Rodrigo
Ner_BCN_035;Javalquinto
Ner_BCN_035;Ciudad-Rodrigo
Ner_BCN_035;Ciudad-Rodrigo
Ner_BCN_036;Arabiana
Ner_BCN_036;Andalucía
Ner_BCN_036;Arabiana
Ner_BCN_036;Guadiato
Ner_BCN_036;torre de san Pablo
Ner_BCN_036;Guadiato
Ner_BCN_037;Málaga
Ner_BCN_037;Málaga
Ner_BCN_037;Granada
Ner_BCN_037;Granada
Ner_BCN_037;Málaga
Ner_BCN_037;Málaga
Ner_BCN_037;Málaga
Ner_BCN_037;Málaga
Ner_BCN_038;Sevilla
Ner_BCN_038;Llanos
Ner_BCN_038;los
Ner_BCN_038;Llanos
Ner_BCN_039;Madrid
Ner_BCN_039;Madrid
Ner_BCN_039;España
Ner_BCN_039;Malta
Ner_BCN_039;Antequera
Ner_BCN_039;Madrid
Ner_BCN_039;Madrid
Ner_BCN_039;España
Ner_BCN_040;Venecia
Ner_BCN_040;Argel
Ner_BCN_040;Coruña
Ner_BCN_040;Bayona
Ner_BCN_040;Venecia
Ner_BCN_040;Argel
Ner_BCN_040;Argel
Ner_BCN_040;España
Ner_BCN_040;Argel
Ner_BCN_040;Argel
Ner_BCN_041;Valencia
Ner_BCN_041;Valencia
Ner_BCN_041;Castilla
Ner_BCN_041;Vizcaya
Ner_BCN_041;Coruña
Ner_BCN_041;Navarra
Ner_BCN_041;Aragon
Ner_BCN_041;Mallorca
Ner_BCN_041;Cataluña
Ner_BCN_041;Cerdeña
Ner_BCN_041;Sicilia
Ner_BCN_041;Italia
Ner_BCN_041;Flandes
Ner_BCN_041;Borgoña
Ner_BCN_041;Portugal
Ner_BCN_041;Cataluña
Ner_BCN_042;Austria
Ner_BCN_042;España
Ner_BCN_042;Austria
Ner_BCN_042;Castilla y Leon
Ner_BCN_042;España
Ner_BCN_042;Nápoles
Ner_BCN_042;Mesina
Ner_BCN_042;Africa
Ner_BCN_042;Hungría
Ner_BCN_042;Holanda
Ner_BCN_042;Francia
Ner_BCN_042;Portugal
Ner_BCN_042;Austria
Ner_BCN_042;Zaragoza
Ner_BCN_042;san Salvador
Ner_BCN_042;Escorial
Ner_BCN_042;Zaragoza
Ner_BCN_042;Sevilla
Ner_BCN_042;Toledo
Ner_BCN_042;Malta
Ner_BCN_042;Aragon
Ner_BCN_042;España
Ner_BCN_042;Leon
Ner_BCN_042;Austria
Ner_BCN_042;España
Ner_BCN_042;España
Ner_BCN_042;Toledo
Ner_BCN_042;Indias
Ner_BCN_042;Castilla
Ner_BCN_042;Alba
Ner_BCN_042;Sessa
Ner_BCN_042;Eguia
Ner_BCN_042;san Lorenzo
Ner_BCN_042;Flandes
Ner_BCN_042;España
Ner_BCN_042;Castilla
Ner_BCN_042;san Lorenzo
Ner_BCN_043;Trujillo
Ner_BCN_043;Sierra Morena
Ner_BCN_043;Sierra Morena
Ner_BCN_043;Trujillo
Ner_BCN_043;España
Ner_BCN_043;Córdoba
Ner_BCN_043;Trujillo
Ner_BCN_043;Sierra Morena
Ner_BCN_043;Trujillo
Ner_BCN_046;Barcelona
Ner_BCN_046;Barcelona
Ner_BCN_046;España
Ner_BCN_046;España
Ner_BCN_046;España
Ner_BCN_046;Barcelona
Ner_BCN_046;Barcelona
Ner_BCN_047;España
Ner_BCN_047;Turia
Ner_BCN_047;Valencia
Ner_BCN_047;Sevilla
Ner_BCN_047;Madrid
Ner_BCN_047;Barcelona
Ner_BCN_047;Valencia
Ner_BCN_047;Valencia
Ner_BCN_047;Belen
Ner_BCN_047;Belen
Ner_BCN_048;Austria
Ner_BCN_048;Golfo de Lepanto
Ner_BCN_051;Londres
Ner_BCN_051;Coruña
Ner_BCN_052;monte Sinaí
Ner_BCN_053;Valencia,en
Ner_BCN_053;Constantinopla
Ner_BCN_053;Vénus
Ner_BCN_053;Constantinopla
