"normalized_name.Occurrences"
"Chiclana de Segura;1"
"Chipre;3"
"Churriana de la Vega;2"
"Cibao;1"
"Cienfuegos;1"
"Cilicia;1"
"Ciudad del Vaticano;2"
"Ciudad Real;3"
"Ciudad Rodrigo;8"
"Ciudadela de Menorca;1"
"Claudiópolis (Capadocia);5"
"Coca;1"
"Cofrentes;2"
"Coímbra;4"
"Collado de la Vera;1"
"Colombia;1"
"Cólquida;2"
"Comoras;1"
"Constantinopla;25"
"Convento de la Concepción;1"
"Convento de Santa Isabel de los Ángeles;3"
"Córdoba;105"
"Cornellá de Llobregat;4"
"Cornudella;4"
"Covadonga;1"
"Cruz del Coso;1"
"Cuarte de Huerva;4"
"Cuba;54"
"Cuenca;11"
"Cugnaux;1"
"Cúllar;1"
"Damasco;4"
"Damieta;6"
"Danubio;1"
"Dardanelos;1"
"Dasphat;1"
"Delfinado;1"
"Denia;2"
"Departamento de Jalapa;1"
"Desierto de Judea;2"
"Despeñaperros;1"
"Dinamarca;46"
"Diócesis de Tuy-Vigo;1"
"Dominica;1"
"Ducado de Brabante;1"
"Ebro;7"
"Écija;1"
"Edén;1"
"Edirne;6"
"Edom;1"
"Éfeso;1"
"Efrain;1"
"Egipto;66"
"Ein Guedi;2"
"El Bollo;1"
"El Borne;2"
"El Cairo;12"
"El Carpio;3"
"El Escorial;3"
"El Milano;1"
"El Muyo;1"
"El Pardo;1"
"El Paso;1"
"El Poblenou;2"
"El Puerto de Santa María;1"
"El Salvador;3"
"El Viso del Alcor;10"
"Elche;2"
"Elda;1"
"Emaús;2"
"Enxanxa;2"
"Eslava;1"
"Eslavonia;4"
"España;668"
"Esparta;5"
"Espera;3"
"Esquivias;2"
"Estados Unidos;3"
"Estepona;1"
"Estrecho de Bering;1"
"Estrecho de Davis;1"
"estrecho de la Sonda;2"
"Europa;1"
"Extremadura;6"
"Fez;6"
"Filadelfia;1"
"Filipinas;10"
"Flandes;36"
"Flix;1"
"Florencia;7"
"Fontainebleau;2"
"Forlì;1"
"Fortupillo;1"
"Foyos;1"
"Fraga;2"
"Francia;172"
"Frigia;6"
"Fuente del Arco;2"
"Fuente del Potro;1"
"Fuenterrabía;1"
"Gabaldón;2"
"Gabaón;2"
"Gaeta;1"
"Galaad;1"
"Galera;1"
"Galia;1"
"Galicia;11"
"Galilea;6"
"Galípoli;3"
"Gandía;3"
"Gante;3"
"Gap;2"
"Gascuña;1"
"Gat;2"
"Genil;1"
"Génova;7"
"Genovés;1"
"Germania Magna;1"
"Gerona;5"
"Gestalgar;2"
"Gethain;1"
"Getsemaní;3"
"Gibraltar;32"
"Gijón;1"
"Gilboa;2"
"Ginebra;4"
"Gironda;1"
"Gobernación de Veragua;1"
"Golfo de California;1"
"Golfo de Corinto;4"
"Golfo de Patrás;1"
"Gomorra;2"
"Gondé;1"
"Gosén;3"
"Gran Bretaña;4"
"Granada;98"
"Grasse;4"
"Grecia;20"
"Grenoble;5"
"Guadalajara;5"
"Guadalquivir;2"
"Guadalupe;2"
"Guadarrama;9"
"Guadiana;1"
"Guadix;3"
"Guanahani;2"
"Guantánamo;1"
"Guardamar del Segura;1"
"Guayaquil;1"
"Guinea;1"
"Guyana;1"
"Hadera;3"
"Haití;5"
"Hama;1"
"Hamburgo;2"
"Haro;3"
"Hebrón;12"
"Heliópolis;1"
"Herodión;2"
"Herrera;3"
"Holanda;5"
"Honduras;1"
"Hornillos de Eresma;1"
"Horta;1"
"Hospital Clínic de Barcelona;1"
"Huelva;2"
"Huesca;3"
"Hungría;43"
"iglesia de Belén (Barcelona);1"
"iglesia de San Jaime (Barcelona);2"
"iglesia de San Pablo (Zaragoza);1"
"iglesia de Santa Catalina;1"
"Igualada;2"
"Ille y Vilaine;1"
"Illescas;14"
"Imperio otomano;2"
"India occidental;12"
"Indias Occidentales;52"
"Indias Orientales;2"
"Inglaterra;48"
"Irán;5"
"Irlanda;20"
"Isla de la Cartuja;1"
"Isla de la Cité;1"
"Isla de Margarita;1"
"Isla Isabela;5"
"Isla Santa Elena;2"
"Isla Trinidad;1"
"islas Alhucemas;1"
"Islas Canarias;3"
"Islas Carolinas;2"
"Israel;30"
"Italia;46"
"Jabalquinto;3"
"Jabes de Galaad;4"
"Jaca;4"
"Jaén;18"
"Jaffa;2"
"Jamaica;5"
"Japón;3"
"Jarama;1"
"Jauja;2"
"Java;4"
"Jerez de la Frontera;26"
"Jerusalén;44"
"Jijona;2"
"Judá;5"
"Judea;14"
"Jumilla;1"
"Kousseri;2"
"Krakatoa archipelago;4"
"La Albuera;1"
"La Alcarria;5"
"La Alpujarra;4"
"La Bañeza;1"
"La Barceloneta;1"
"La Coruña;11"
"La Española;2"
"La Figuera;1"
"La Habana;49"
"La Mancha;5"
"La Meca;14"
"La Mojonera;1"
"La Pedraja de Portillo;1"
"La Rábida;1"
"La Rambla;11"
"La Vera;1"
"La Vizana;1"
"Lagartera;8"
"Laodicea;1"
"Larache;1"
"Laredo;5"
"Las Gabias;1"
"Las Majadas;1"
"Laudes;1"
"Lavapiés;3"
"Le Mans;4"
"Le Monêtier-les-Bains;3"
"Lebrija;2"
"León;21"
"Léon;1"
"Lérida;9"
"Lerma;2"
"Letrán;1"
"Líbano;1"
"Libia;2"
"Lidia;1"
"Lieja;1"
"Lille;1"
"Lima;9"
"Linares;2"
"Lisboa;34"
"Llerena;2"
"Lloret de Mar;1"
"Logone-Birni;2"
"Logroño;4"
"Logrosán;2"
"Lombardía;2"
"Londres;25"
"Longwy;1"
"Lora del Río;1"
"Lorca;7"
"Lorena;1"
"Loreto;1"
"Loriguilla;2"
"Loyola;1"
"Lucca;4"
"Lucena;9"
"Lugano;2"
"Luque;3"
"Lyon;2"
"Macizo de Bonastre;1"
"Macizo de Montserrat;2"
"Madeira;1"
"Madrid;197"
"Madriles;1"
"Madyto;1"
"Maguncia;1"
"Mahón;3"
"Majaceite;1"
"Málaga;45"
"Mallorca;1"
"Malta;9"
"Manain;2"
"Manila;6"
"Manresa;4"
"mar Adriático;1"
"mar Caribe;1"
"mar Rojo;2"
"Maragatería;1"
"Marbella;3"
"Marie-Galante;1"
"Marruecos;10"
"Marsella;16"
"Martinica;1"
"Martorell;1"
"Matanza de los Oteros;1"
"Matanzas;3"
"Mayenne;1"
"Medellín;2"
"Mediñá;2"
"Medina del Campo;3"
"Medina Sidonia;1"
"Mediodía francés;2"
"Mediterráneo;2"
"Melanesia;1"
"Melilla;14"
"Menorca;1"
"Mequinez;1"
"Mercado de Atarazanas;1"
"Mérida;1"
"Mesina;5"
"Messina;2"
"México;9"
"Micronesia;1"
